,itemID,month,order,salesPrice
1,1.0,01-2018,313,3.0
2,1.0,02-2018,39,3.0
3,1.0,03-2018,2,3.0
4,1.0,04-2018,301,3.0
5,1.0,05-2018,35,3.0
6,1.0,06-2018,3,3.0
8,2.0,01-2018,0,9.0
9,2.0,02-2018,2,9.0
10,2.0,03-2018,0,9.0
11,2.0,04-2018,0,9.0
12,2.0,05-2018,3,9.0
13,2.0,06-2018,0,9.0
15,3.0,01-2018,96,10.0
16,3.0,02-2018,90,14.0
17,3.0,03-2018,1,14.0
18,3.0,04-2018,0,14.0
19,3.0,05-2018,3,14.0
20,3.0,06-2018,141,14.0
22,4.0,01-2018,1,13.0
23,4.0,02-2018,1,13.0
24,4.0,03-2018,0,13.0
25,4.0,04-2018,45,13.0
26,4.0,05-2018,6,13.0
27,4.0,06-2018,145,14.0
29,5.0,01-2018,3,7.0
30,5.0,02-2018,1,7.0
31,5.0,03-2018,0,7.0
32,5.0,04-2018,131,7.0
33,5.0,05-2018,42,7.0
34,5.0,06-2018,3,7.0
36,6.0,01-2018,0,17.0
37,6.0,02-2018,1,17.0
38,6.0,03-2018,0,17.0
39,6.0,04-2018,1,17.0
40,6.0,05-2018,267,17.0
41,6.0,06-2018,4,17.0
43,7.0,01-2018,0,34.0
44,7.0,02-2018,1,34.0
45,7.0,03-2018,0,34.0
46,7.0,04-2018,0,34.0
47,7.0,05-2018,0,34.0
48,7.0,06-2018,1,34.0
50,8.0,01-2018,2,5.0
51,8.0,02-2018,1,5.0
52,8.0,03-2018,99,5.0
53,8.0,04-2018,27,4.0
54,8.0,05-2018,94,4.0
55,8.0,06-2018,1,4.0
57,9.0,01-2018,2,199.0
58,9.0,02-2018,2,199.0
59,9.0,03-2018,0,199.0
60,9.0,04-2018,6,199.0
61,9.0,05-2018,0,199.0
62,9.0,06-2018,2,199.0
64,10.0,01-2018,0,25.0
65,10.0,02-2018,359,25.0
66,10.0,03-2018,64,24.0
67,10.0,04-2018,5,24.0
68,10.0,05-2018,2,24.0
69,10.0,06-2018,3,24.0
71,11.0,01-2018,8,2.0
72,11.0,02-2018,3,2.0
73,11.0,03-2018,9,2.0
74,11.0,04-2018,211,2.0
75,11.0,05-2018,14,2.0
76,11.0,06-2018,7,2.0
78,12.0,01-2018,1,2.0
79,12.0,02-2018,0,2.0
80,12.0,03-2018,0,2.0
81,12.0,04-2018,6,2.0
82,12.0,05-2018,133,2.0
83,12.0,06-2018,1,2.0
85,13.0,01-2018,0,11.0
86,13.0,02-2018,329,11.0
87,13.0,03-2018,2,10.0
88,13.0,04-2018,18,10.0
89,13.0,05-2018,0,10.0
90,13.0,06-2018,69,10.0
92,14.0,01-2018,2,29.0
93,14.0,02-2018,1,29.0
94,14.0,03-2018,1,29.0
95,14.0,04-2018,0,29.0
96,14.0,05-2018,0,29.0
97,14.0,06-2018,3,29.0
99,15.0,01-2018,17,708.0
100,15.0,02-2018,23,715.0
101,15.0,03-2018,9,713.0
102,15.0,04-2018,3,722.0
103,15.0,05-2018,4,722.0
104,15.0,06-2018,4,720.0
106,16.0,01-2018,10,159.0
107,16.0,02-2018,9,159.0
108,16.0,03-2018,7,159.0
109,16.0,04-2018,1,159.0
110,16.0,05-2018,0,159.0
111,16.0,06-2018,2,159.0
113,17.0,01-2018,5,26.0
114,17.0,02-2018,3,26.0
115,17.0,03-2018,1,26.0
116,17.0,04-2018,185,26.0
117,17.0,05-2018,5,26.0
118,17.0,06-2018,5,26.0
120,18.0,01-2018,11,7.0
121,18.0,02-2018,379,7.0
122,18.0,03-2018,11,7.0
123,18.0,04-2018,7,7.0
124,18.0,05-2018,12,7.0
125,18.0,06-2018,11,7.0
127,19.0,01-2018,2,77.0
128,19.0,02-2018,83,77.0
129,19.0,03-2018,21,79.0
130,19.0,04-2018,81,79.0
131,19.0,05-2018,31,79.0
132,19.0,06-2018,1,79.0
134,20.0,01-2018,4,605.0
135,20.0,02-2018,0,605.0
136,20.0,03-2018,0,605.0
137,20.0,04-2018,0,605.0
138,20.0,05-2018,0,605.0
139,20.0,06-2018,0,605.0
141,21.0,01-2018,0,5.0
142,21.0,02-2018,1,5.0
143,21.0,03-2018,2,5.0
144,21.0,04-2018,1,5.0
145,21.0,05-2018,2,5.0
146,21.0,06-2018,80,5.0
148,22.0,01-2018,1,37.0
149,22.0,02-2018,2,37.0
150,22.0,03-2018,47,37.0
151,22.0,04-2018,0,37.0
152,22.0,05-2018,0,37.0
153,22.0,06-2018,0,37.0
155,23.0,01-2018,42,31.0
156,23.0,02-2018,15,31.0
157,23.0,03-2018,5,31.0
158,23.0,04-2018,4,31.0
159,23.0,05-2018,0,31.0
160,23.0,06-2018,0,31.0
162,24.0,01-2018,7,1.0
163,24.0,02-2018,4,1.0
164,24.0,03-2018,4,1.0
165,24.0,04-2018,0,1.0
166,24.0,05-2018,0,1.0
167,24.0,06-2018,0,1.0
169,25.0,01-2018,52,10.0
170,25.0,02-2018,3,10.0
171,25.0,03-2018,2,10.0
172,25.0,04-2018,2,10.0
173,25.0,05-2018,2,10.0
174,25.0,06-2018,1,10.0
176,26.0,01-2018,112,13.0
177,26.0,02-2018,2,14.0
178,26.0,03-2018,31,14.0
179,26.0,04-2018,1,14.0
180,26.0,05-2018,3,14.0
181,26.0,06-2018,120,14.0
183,27.0,01-2018,256,1.0
184,27.0,02-2018,61,1.0
185,27.0,03-2018,4,1.0
186,27.0,04-2018,3,1.0
187,27.0,05-2018,0,1.0
188,27.0,06-2018,0,1.0
190,28.0,01-2018,0,70.0
191,28.0,02-2018,0,70.0
192,28.0,03-2018,0,70.0
193,28.0,04-2018,197,70.0
194,28.0,05-2018,1,67.0
195,28.0,06-2018,0,67.0
197,29.0,01-2018,4,56.0
198,29.0,02-2018,160,56.0
199,29.0,03-2018,29,56.0
200,29.0,04-2018,4,56.0
201,29.0,05-2018,3,56.0
202,29.0,06-2018,4,56.0
204,30.0,01-2018,1,82.0
205,30.0,02-2018,3,82.0
206,30.0,03-2018,0,82.0
207,30.0,04-2018,3,82.0
208,30.0,05-2018,2,82.0
209,30.0,06-2018,0,82.0
211,31.0,01-2018,239,17.0
212,31.0,02-2018,5,17.0
213,31.0,03-2018,4,17.0
214,31.0,04-2018,79,17.0
215,31.0,05-2018,217,17.0
216,31.0,06-2018,2,17.0
218,32.0,01-2018,303,32.0
219,32.0,02-2018,33,32.0
220,32.0,03-2018,3,32.0
221,32.0,04-2018,300,32.0
222,32.0,05-2018,0,32.0
223,32.0,06-2018,1,32.0
225,33.0,01-2018,0,44.0
226,33.0,02-2018,0,44.0
227,33.0,03-2018,0,44.0
228,33.0,04-2018,1,44.0
229,33.0,05-2018,0,44.0
230,33.0,06-2018,0,44.0
232,34.0,01-2018,0,102.0
233,34.0,02-2018,0,102.0
234,34.0,03-2018,45,102.0
235,34.0,04-2018,43,85.0
236,34.0,05-2018,24,82.0
237,34.0,06-2018,0,82.0
239,35.0,01-2018,785,362.0
240,35.0,02-2018,111,350.0
241,35.0,03-2018,4,350.0
242,35.0,04-2018,41,350.0
243,35.0,05-2018,549,366.0
244,35.0,06-2018,18,350.0
246,36.0,01-2018,3,1496.0
247,36.0,02-2018,0,1496.0
248,36.0,03-2018,14,1493.0
249,36.0,04-2018,0,1493.0
250,36.0,05-2018,10,1473.0
251,36.0,06-2018,0,1473.0
253,37.0,01-2018,262,25.0
254,37.0,02-2018,2,25.0
255,37.0,03-2018,7,18.0
256,37.0,04-2018,149,25.0
257,37.0,05-2018,138,24.0
258,37.0,06-2018,0,24.0
260,38.0,01-2018,166,30.0
261,38.0,02-2018,51,30.0
262,38.0,03-2018,33,30.0
263,38.0,04-2018,5,30.0
264,38.0,05-2018,6,30.0
265,38.0,06-2018,159,30.0
267,39.0,01-2018,0,56.0
268,39.0,02-2018,2,56.0
269,39.0,03-2018,37,56.0
270,39.0,04-2018,2,56.0
271,39.0,05-2018,16,56.0
272,39.0,06-2018,2,59.0
274,40.0,01-2018,14,806.0
275,40.0,02-2018,27,809.0
276,40.0,03-2018,0,809.0
277,40.0,04-2018,35,804.0
278,40.0,05-2018,10,804.0
279,40.0,06-2018,7,804.0
281,41.0,01-2018,12,141.0
282,41.0,02-2018,6,140.0
283,41.0,03-2018,1,139.0
284,41.0,04-2018,56,138.0
285,41.0,05-2018,7,133.0
286,41.0,06-2018,9,133.0
288,42.0,01-2018,5,17.0
289,42.0,02-2018,6,17.0
290,42.0,03-2018,5,17.0
291,42.0,04-2018,2,17.0
292,42.0,05-2018,0,17.0
293,42.0,06-2018,0,17.0
295,43.0,01-2018,6,98.0
296,43.0,02-2018,2,98.0
297,43.0,03-2018,0,98.0
298,43.0,04-2018,0,98.0
299,43.0,05-2018,0,98.0
300,43.0,06-2018,0,98.0
302,44.0,01-2018,1,16.0
303,44.0,02-2018,102,16.0
304,44.0,03-2018,113,16.0
